text,label
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
How to prevent this condition ?,prevention
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
Who is at risk for this condition? ?,prognosis
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What causes this condition ?,causes
Who is at risk for this condition? ?,prognosis
How to prevent this condition ?,prevention
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
How to prevent this condition ?,prevention
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
How to prevent this condition ?,prevention
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
How to prevent this condition ?,prevention
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
Who is at risk for this condition? ?,prognosis
How to prevent this condition ?,prevention
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
How many people are affected by this condition ?,frequency
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
How many people are affected by this condition ?,frequency
What causes this condition ?,causes
How to prevent this condition ?,prevention
What causes this condition ?,causes
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
How to diagnose this condition ?,diagnosis
How many people are affected by this condition ?,frequency
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
How to prevent this condition ?,prevention
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
What causes this condition ?,causes
What are the treatments for this condition ?,treatment
Who is at risk for this condition? ?,prognosis
How to prevent this condition ?,prevention
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
How to prevent this condition ?,prevention
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is the outlook for this condition ?,prognosis
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What is (are) this condition ?,definition
What is (are) this condition ?,definition
How to prevent this condition ?,prevention
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
How many people are affected by this condition ?,frequency
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What causes this condition ?,causes
What causes this condition ?,causes
How to prevent this condition ?,prevention
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
How to prevent this condition ?,prevention
What is (are) this condition ?,definition
What causes this condition ?,causes
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
How many people are affected by this condition ?,frequency
What is (are) this condition ?,definition
What causes this condition ?,causes
Who is at risk for this condition? ?,prognosis
Who is at risk for this condition? ?,prognosis
Who is at risk for this condition? ?,prognosis
What are the symptoms of this condition ?,symptoms
What are the symptoms of this condition ?,symptoms
How to diagnose this condition ?,diagnosis
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
Who is at risk for this condition? ?,prognosis
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What causes this condition ?,causes
What are the treatments for this condition ?,treatment
What causes this condition ?,causes
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What are the symptoms of this condition ?,symptoms
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
Who is at risk for this condition? ?,prognosis
Who is at risk for this condition? ?,prognosis
Who is at risk for this condition? ?,prognosis
How to prevent this condition ?,prevention
Who is at risk for this condition? ?,prognosis
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
How to prevent this condition ?,prevention
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What causes this condition ?,causes
Who is at risk for this condition? ?,prognosis
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
How to prevent this condition ?,prevention
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What causes this condition ?,causes
How to diagnose this condition ?,diagnosis
How to diagnose this condition ?,diagnosis
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
How to prevent this condition ?,prevention
How to prevent this condition ?,prevention
How to prevent this condition ?,prevention
How to prevent this condition ?,prevention
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
How to diagnose this condition ?,diagnosis
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
How to prevent this condition ?,prevention
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
How many people are affected by this condition ?,frequency
What is (are) this condition ?,definition
What causes this condition ?,causes
How to prevent this condition ?,prevention
What are the treatments for this condition ?,treatment
How to prevent this condition ?,prevention
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What causes this condition ?,causes
Who is at risk for this condition? ?,prognosis
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What causes this condition ?,causes
How to prevent this condition ?,prevention
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What causes this condition ?,causes
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
How to diagnose this condition ?,diagnosis
How to prevent this condition ?,prevention
What are the treatments for this condition ?,treatment
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What are the symptoms of this condition ?,symptoms
Who is at risk for this condition? ?,prognosis
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
How to prevent this condition ?,prevention
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
What causes this condition ?,causes
How to prevent this condition ?,prevention
What causes this condition ?,causes
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
Who is at risk for this condition? ?,prognosis
How to diagnose this condition ?,diagnosis
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
How to prevent this condition ?,prevention
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
Who is at risk for this condition? ?,prognosis
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What is (are) this condition ?,definition
How many people are affected by this condition ?,frequency
Who is at risk for this condition? ?,prognosis
Who is at risk for this condition? ?,prognosis
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What is (are) this condition ?,definition
What are the treatments for this condition ?,treatment
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
How to prevent this condition ?,prevention
Who is at risk for this condition? ?,prognosis
What is (are) this condition ?,definition
What causes this condition ?,causes
What are the symptoms of this condition ?,symptoms
What are the treatments for this condition ?,treatment
What is (are) this condition ?,definition
What are the symptoms of this condition ?,symptoms
Who is at risk for this condition? ?,prognosis
What causes this condition ?,causes
What is (are) this condition ?,definition
What is (are) this condition ?,definition
How to diagnose this condition ?,diagnosis
