seed_id,text,label
0,crushing chest pain spreading to my left arm and jaw,EMERGENCY
0,i have crushing chest pain spreading to my left arm and jaw,EMERGENCY
0,"doctor, crushing chest pain spreading to my left arm and jaw",EMERGENCY
0,crushing chest pain spreading to my left arm and jaw. what should i do,EMERGENCY
0,crushing chest pain spreading to my left arm and jaw. please advise,EMERGENCY
0,"hi, crushing chest pain spreading to my left arm and jaw and i am worried",EMERGENCY
0,hello doctor crushing chest pain spreading to my left arm and jaw,EMERGENCY
0,i am experiencing crushing chest pain spreading to my left arm and jaw,EMERGENCY
1,"chest pain and sweating, feels like pressure on my chest",EMERGENCY
1,"i have chest pain and sweating, feels like pressure on my chest",EMERGENCY
1,"doctor, chest pain and sweating, feels like pressure on my chest",EMERGENCY
1,"chest pain and sweating, feels like pressure on my chest. what should i do",EMERGENCY
1,"chest pain and sweating, feels like pressure on my chest. please advise",EMERGENCY
1,"hi, chest pain and sweating, feels like pressure on my chest and i am worried",EMERGENCY
1,"hello doctor chest pain and sweating, feels like pressure on my chest",EMERGENCY
1,"i am experiencing chest pain and sweating, feels like pressure on my chest",EMERGENCY
2,i cannot breathe properly and my lips look blue,EMERGENCY
2,i have i cannot breathe properly and my lips look blue,EMERGENCY
2,"doctor, i cannot breathe properly and my lips look blue",EMERGENCY
2,i cannot breathe properly and my lips look blue. what should i do,EMERGENCY
2,i cannot breathe properly and my lips look blue. please advise,EMERGENCY
2,"hi, i cannot breathe properly and my lips look blue and i am worried",EMERGENCY
2,hello doctor i cannot breathe properly and my lips look blue,EMERGENCY
2,i am experiencing i cannot breathe properly and my lips look blue,EMERGENCY
3,"severe difficulty breathing, i can only speak a few words",EMERGENCY
3,"i have severe difficulty breathing, i can only speak a few words",EMERGENCY
3,"doctor, severe difficulty breathing, i can only speak a few words",EMERGENCY
3,"severe difficulty breathing, i can only speak a few words. what should i do",EMERGENCY
3,"severe difficulty breathing, i can only speak a few words. please advise",EMERGENCY
3,"hi, severe difficulty breathing, i can only speak a few words and i am worried",EMERGENCY
3,"hello doctor severe difficulty breathing, i can only speak a few words",EMERGENCY
3,"i am experiencing severe difficulty breathing, i can only speak a few words",EMERGENCY
4,coughing up blood since this morning,EMERGENCY
4,i have coughing up blood since this morning,EMERGENCY
4,"doctor, coughing up blood since this morning",EMERGENCY
4,coughing up blood since this morning. what should i do,EMERGENCY
4,coughing up blood since this morning. please advise,EMERGENCY
4,"hi, coughing up blood since this morning and i am worried",EMERGENCY
4,hello doctor coughing up blood since this morning,EMERGENCY
4,i am experiencing coughing up blood since this morning,EMERGENCY
5,vomiting blood and feeling faint,EMERGENCY
5,i have vomiting blood and feeling faint,EMERGENCY
5,"doctor, vomiting blood and feeling faint",EMERGENCY
5,vomiting blood and feeling faint. what should i do,EMERGENCY
5,vomiting blood and feeling faint. please advise,EMERGENCY
5,"hi, vomiting blood and feeling faint and i am worried",EMERGENCY
5,hello doctor vomiting blood and feeling faint,EMERGENCY
5,i am experiencing vomiting blood and feeling faint,EMERGENCY
6,sudden weakness on one side of my body and slurred speech,EMERGENCY
6,i have sudden weakness on one side of my body and slurred speech,EMERGENCY
6,"doctor, sudden weakness on one side of my body and slurred speech",EMERGENCY
6,sudden weakness on one side of my body and slurred speech. what should i do,EMERGENCY
6,sudden weakness on one side of my body and slurred speech. please advise,EMERGENCY
6,"hi, sudden weakness on one side of my body and slurred speech and i am worried",EMERGENCY
6,hello doctor sudden weakness on one side of my body and slurred speech,EMERGENCY
6,i am experiencing sudden weakness on one side of my body and slurred speech,EMERGENCY
7,my face has drooped on one side and my arm is numb,EMERGENCY
7,i have my face has drooped on one side and my arm is numb,EMERGENCY
7,"doctor, my face has drooped on one side and my arm is numb",EMERGENCY
7,my face has drooped on one side and my arm is numb. what should i do,EMERGENCY
7,my face has drooped on one side and my arm is numb. please advise,EMERGENCY
7,"hi, my face has drooped on one side and my arm is numb and i am worried",EMERGENCY
7,hello doctor my face has drooped on one side and my arm is numb,EMERGENCY
7,i am experiencing my face has drooped on one side and my arm is numb,EMERGENCY
8,i had a seizure a few minutes ago and i am confused,EMERGENCY
8,i have i had a seizure a few minutes ago and i am confused,EMERGENCY
8,"doctor, i had a seizure a few minutes ago and i am confused",EMERGENCY
8,i had a seizure a few minutes ago and i am confused. what should i do,EMERGENCY
8,i had a seizure a few minutes ago and i am confused. please advise,EMERGENCY
8,"hi, i had a seizure a few minutes ago and i am confused and i am worried",EMERGENCY
8,hello doctor i had a seizure a few minutes ago and i am confused,EMERGENCY
