group,text,label
topic:Hypokalemic periodic paralysis,what are the symptoms of hypokalemic periodic paralysis ?,RETRIEVE_KNOWLEDGE
topic:Is 3-beta-hydroxysteroid dehyd,is 3-beta-hydroxysteroid dehydrogenase deficiency inherited ?,RETRIEVE_KNOWLEDGE
topic:Porphyria,what is (are) porphyria ?,RETRIEVE_KNOWLEDGE
topic:Childbirth Problems,what is (are) childbirth problems ?,RETRIEVE_KNOWLEDGE
"topic:2,4-Dienoyl-CoA reductase deficiency","what is (are) 2,4-dienoyl-coa reductase deficiency ?",RETRIEVE_KNOWLEDGE
topic:Naegeli syndrome,what is (are) naegeli syndrome ?,RETRIEVE_KNOWLEDGE
topic:Insulin Resistance and Prediabetes,what are the symptoms of insulin resistance and prediabetes ?,RETRIEVE_KNOWLEDGE
topic:intranuclear rod myopathy,how many people are affected by intranuclear rod myopathy ?,RETRIEVE_KNOWLEDGE
topic:What are the symptoms of Dandy,what are the symptoms of dandy-walker malformation with facial hemangioma ?,RETRIEVE_KNOWLEDGE
topic:Proctitis,what is (are) proctitis ?,RETRIEVE_KNOWLEDGE
topic:Urinary Tract Infections in Children,how many people are affected by urinary tract infections in children ?,RETRIEVE_KNOWLEDGE
topic:Chronic Lymphocytic Leukemia,what are the treatments for chronic lymphocytic leukemia ?,RETRIEVE_KNOWLEDGE
topic:glycine encephalopathy,what are the genetic changes related to glycine encephalopathy ?,RETRIEVE_KNOWLEDGE
topic:COPD,how to prevent copd ?,RETRIEVE_KNOWLEDGE
topic:Afibrinogenemia,what are the symptoms of afibrinogenemia ?,RETRIEVE_KNOWLEDGE
topic:cystinuria,what are the genetic changes related to cystinuria ?,RETRIEVE_KNOWLEDGE
topic:Cherubism,what causes cherubism ?,RETRIEVE_KNOWLEDGE
topic:Hemorrhoids,what causes hemorrhoids ?,RETRIEVE_KNOWLEDGE
"topic:Diabetes, Heart Disease, and Stroke","what is (are) diabetes, heart disease, and stroke ?",RETRIEVE_KNOWLEDGE
topic:Relapsing polychondritis,what causes relapsing polychondritis ?,RETRIEVE_KNOWLEDGE
topic:What are the symptoms of Skin ,what are the symptoms of skin fragility-woolly hair-palmoplantar keratoderma syndrome ?,RETRIEVE_KNOWLEDGE
topic:Autism,what is the outlook for autism ?,RETRIEVE_KNOWLEDGE
topic:Vici syndrome,what are the symptoms of vici syndrome ?,RETRIEVE_KNOWLEDGE
topic:What are the symptoms of Split,what are the symptoms of split hand urinary anomalies spina bifida ?,RETRIEVE_KNOWLEDGE
topic:Alzheimer's Caregiving,what to do for alzheimer's caregiving ?,RETRIEVE_KNOWLEDGE
topic:Central Pain Syndrome,what is the outlook for central pain syndrome ?,RETRIEVE_KNOWLEDGE
topic:Amyloidosis and Kidney Disease,how to diagnose amyloidosis and kidney disease ?,RETRIEVE_KNOWLEDGE
topic:Diabetes,what is (are) diabetes ?,RETRIEVE_KNOWLEDGE
topic:Arts syndrome,how many people are affected by arts syndrome ?,RETRIEVE_KNOWLEDGE
topic:congenital afibrinogenemia,how many people are affected by congenital afibrinogenemia ?,RETRIEVE_KNOWLEDGE
topic:Zollinger-Ellison Syndrome,what causes zollinger-ellison syndrome ?,RETRIEVE_KNOWLEDGE
topic:Diphtheria,what is (are) diphtheria ?,RETRIEVE_KNOWLEDGE
topic:Charcot-Marie-Tooth disease type 1F,what are the symptoms of charcot-marie-tooth disease type 1f ?,RETRIEVE_KNOWLEDGE
topic:Parkinson's Disease,who is at risk for parkinson's disease? ?,RETRIEVE_KNOWLEDGE
topic:Chronic Pain,what research (or clinical trials) is being done for chronic pain ?,RETRIEVE_KNOWLEDGE
topic:What is (are) Retinal vasculop,what is (are) retinal vasculopathy with cerebral leukodystrophy ?,RETRIEVE_KNOWLEDGE
topic:Congenital muscular dystrophy,what is (are) congenital muscular dystrophy ?,RETRIEVE_KNOWLEDGE
topic:ARDS,who is at risk for ards? ?,RETRIEVE_KNOWLEDGE
topic:What I need to know about Hepatitis B,what is (are) what i need to know about hepatitis b ?,RETRIEVE_KNOWLEDGE
topic:What are the symptoms of Letha,what are the symptoms of lethal congenital contracture syndrome 1 ?,RETRIEVE_KNOWLEDGE
topic:molybdenum cofactor deficiency,is molybdenum cofactor deficiency inherited ?,RETRIEVE_KNOWLEDGE
topic:Is leukoencephalopathy with va,is leukoencephalopathy with vanishing white matter inherited ?,RETRIEVE_KNOWLEDGE
topic:What is (are) Intestinal pseud,what is (are) intestinal pseudoobstruction neuronal chronic idiopathic x-linked ?,RETRIEVE_KNOWLEDGE
topic:infantile systemic hyalinosis,what are the genetic changes related to infantile systemic hyalinosis ?,RETRIEVE_KNOWLEDGE
topic:Crohn's Disease,what are the treatments for crohn's disease ?,RETRIEVE_KNOWLEDGE
"topic:Tremor hereditary essential, 2","what are the symptoms of tremor hereditary essential, 2 ?",RETRIEVE_KNOWLEDGE
topic:Gardner syndrome,is gardner syndrome inherited ?,RETRIEVE_KNOWLEDGE
topic:Usher syndrome,how many people are affected by usher syndrome ?,RETRIEVE_KNOWLEDGE
"topic:Lipodystrophy, familial partial, type 2","what are the symptoms of lipodystrophy, familial partial, type 2 ?",RETRIEVE_KNOWLEDGE
topic:Who is at risk for Nutrition f,who is at risk for nutrition for early chronic kidney disease in adults? ?,RETRIEVE_KNOWLEDGE
topic:Orthodontia,do you have information about orthodontia,RETRIEVE_KNOWLEDGE
topic:Stickler syndrome,what is (are) stickler syndrome ?,RETRIEVE_KNOWLEDGE
topic:Doyne honeycomb retinal dystrophy,what are the symptoms of doyne honeycomb retinal dystrophy ?,RETRIEVE_KNOWLEDGE
topic:Financial Help for Diabetes Care,what is (are) financial help for diabetes care ?,RETRIEVE_KNOWLEDGE
topic:Syringomyelia,what is (are) syringomyelia ?,RETRIEVE_KNOWLEDGE
topic:Gordon syndrome,what is (are) gordon syndrome ?,RETRIEVE_KNOWLEDGE
topic:mucolipidosis II alpha/beta,what is (are) mucolipidosis ii alpha/beta ?,RETRIEVE_KNOWLEDGE
topic:Prescription and Illicit Drug Abuse,what are the treatments for prescription and illicit drug abuse ?,RETRIEVE_KNOWLEDGE
topic:What are the symptoms of Yemen,what are the symptoms of yemenite deaf-blind hypopigmentation syndrome ?,RETRIEVE_KNOWLEDGE
topic:Islet Cell Transplantation,do you have information about islet cell transplantation,RETRIEVE_KNOWLEDGE
topic:Schwannomatosis,how to diagnose schwannomatosis ?,RETRIEVE_KNOWLEDGE
topic:prekallikrein deficiency,how many people are affected by prekallikrein deficiency ?,RETRIEVE_KNOWLEDGE
topic:What are the symptoms of Subao,what are the symptoms of subaortic stenosis short stature syndrome ?,RETRIEVE_KNOWLEDGE
topic:What I need to know about Hepatitis A,what are the treatments for what i need to know about hepatitis a ?,RETRIEVE_KNOWLEDGE
topic:What are the treatments for ar,what are the treatments for arginine:glycine amidinotransferase deficiency ?,RETRIEVE_KNOWLEDGE
topic:Aarskog-Scott syndrome,what are the genetic changes related to aarskog-scott syndrome ?,RETRIEVE_KNOWLEDGE
topic:Primary CNS Lymphoma,what are the treatments for primary cns lymphoma ?,RETRIEVE_KNOWLEDGE
topic:Brody myopathy,is brody myopathy inherited ?,RETRIEVE_KNOWLEDGE
topic:Indigestion,what is (are) indigestion ?,RETRIEVE_KNOWLEDGE
topic:Donnai-Barrow syndrome,is donnai-barrow syndrome inherited ?,RETRIEVE_KNOWLEDGE
topic:Parasites - Taeniasis,how to prevent parasites - taeniasis ?,RETRIEVE_KNOWLEDGE
topic:Breast Cancer,how to prevent breast cancer ?,RETRIEVE_KNOWLEDGE
topic:geleophysic dysplasia,how many people are affected by geleophysic dysplasia ?,RETRIEVE_KNOWLEDGE
topic:Hemangioendothelioma,what is (are) hemangioendothelioma ?,RETRIEVE_KNOWLEDGE
topic:Skin Infections,what is (are) skin infections ?,RETRIEVE_KNOWLEDGE
topic:Hemophilia,what is (are) hemophilia ?,RETRIEVE_KNOWLEDGE
topic:Serpiginous choroiditis,is serpiginous choroiditis inherited ?,RETRIEVE_KNOWLEDGE
topic:Problems with Smell,what causes problems with smell ?,RETRIEVE_KNOWLEDGE
topic:Kuskokwim syndrome,is kuskokwim syndrome inherited ?,RETRIEVE_KNOWLEDGE
topic:congenital leptin deficiency,is congenital leptin deficiency inherited ?,RETRIEVE_KNOWLEDGE
topic:Neurologic Diseases,what is (are) neurologic diseases ?,RETRIEVE_KNOWLEDGE
topic:acromicric dysplasia,what are the treatments for acromicric dysplasia ?,RETRIEVE_KNOWLEDGE
topic:What are the treatments for sp,what are the treatments for spondyloenchondrodysplasia with immune dysregulation ?,RETRIEVE_KNOWLEDGE
topic:Encephaloceles,what research (or clinical trials) is being done for encephaloceles ?,RETRIEVE_KNOWLEDGE
topic:Pigmented purpuric eruption,what is (are) pigmented purpuric eruption ?,RETRIEVE_KNOWLEDGE
topic:How many people are affected b,how many people are affected by myopathy with deficiency of iron-sulfur cluster assembly enzyme ?,RETRIEVE_KNOWLEDGE
topic:Fraser syndrome,is fraser syndrome inherited ?,RETRIEVE_KNOWLEDGE
"topic:What is (are) 46,XX testicular","what is (are) 46,xx testicular disorder of sex development ?",RETRIEVE_KNOWLEDGE
topic:Junctional epidermolysis bullosa,what is (are) junctional epidermolysis bullosa ?,RETRIEVE_KNOWLEDGE
topic:congenital insensitivity to pain,what are the genetic changes related to congenital insensitivity to pain ?,RETRIEVE_KNOWLEDGE
topic:Littoral cell angioma of the spleen,what is (are) littoral cell angioma of the spleen ?,RETRIEVE_KNOWLEDGE
topic:Alagille syndrome,what are the genetic changes related to alagille syndrome ?,RETRIEVE_KNOWLEDGE
topic:Angina,what are the symptoms of angina ?,RETRIEVE_KNOWLEDGE
topic:Parasites - Leishmaniasis,how to diagnose parasites - leishmaniasis ?,RETRIEVE_KNOWLEDGE
topic:Urine Blockage in Newborns,what are the symptoms of urine blockage in newborns ?,RETRIEVE_KNOWLEDGE
topic:Gastrointestinal Carcinoid Tumors,what are the stages of gastrointestinal carcinoid tumors ?,RETRIEVE_KNOWLEDGE
topic:tarsal-carpal coalition syndrome,is tarsal-carpal coalition syndrome inherited ?,RETRIEVE_KNOWLEDGE
topic:Fine-Lubinsky syndrome,what is (are) fine-lubinsky syndrome ?,RETRIEVE_KNOWLEDGE
topic:intrahepatic cholestasis of pregnancy,what is (are) intrahepatic cholestasis of pregnancy ?,RETRIEVE_KNOWLEDGE
topic:Cerulean cataract,what are the symptoms of cerulean cataract ?,RETRIEVE_KNOWLEDGE
topic:Andersen-Tawil syndrome,is andersen-tawil syndrome inherited ?,RETRIEVE_KNOWLEDGE
topic:Iron-Deficiency Anemia,how to prevent iron-deficiency anemia ?,RETRIEVE_KNOWLEDGE
topic:Parasites - Scabies,who is at risk for parasites - scabies? ?,RETRIEVE_KNOWLEDGE
topic:familial adenomatous polyposis,what is (are) familial adenomatous polyposis ?,RETRIEVE_KNOWLEDGE
topic:Graves disease,what is (are) graves disease ?,RETRIEVE_KNOWLEDGE
topic:Glycosylphosphatidylinositol deficiency,what are the symptoms of glycosylphosphatidylinositol deficiency ?,RETRIEVE_KNOWLEDGE
topic:Antisynthetase syndrome,what are the symptoms of antisynthetase syndrome ?,RETRIEVE_KNOWLEDGE
topic:otopalatodigital syndrome type 2,is otopalatodigital syndrome type 2 inherited ?,RETRIEVE_KNOWLEDGE
topic:Prader-Willi syndrome,what causes prader-willi syndrome ?,RETRIEVE_KNOWLEDGE
